ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,test_acc,delta_acc_vs_full,mean_abs_delta_all,mean_abs_delta_morph,max_alpha_all,max_alpha_morph,entropy_alpha_all,entropy_alpha_morph
full,small,organcmnist_224,resnet,3,0.1,42,avg,0.6626095423563778,0.0,0.0528950227631463,0.05797080861197577,0.412463515996933,0.420289546251297,0.9826845125321936,0.9814932880660258
full,small,organcmnist_224,resnet,5,0.0,42,specialist_client,0.36818403115871473,0.0,0.07805186301469803,0.11002137601375579,0.3651677370071411,0.4312501549720764,0.9402542569616614,0.8861399682471534
full,small,organcmnist_224,resnet,5,0.01,42,morph_anchor,0.1955939629990263,0.0,0.0397222763299942,0.056056739985942836,0.28035956621170044,0.29501259326934814,0.9823497135375141,0.9669765320558887
full,small,organcmnist_224,resnet,5,0.1,42,avg,0.4606864654333009,0.0,0.033072335124015806,0.042943296432495115,0.24156667292118073,0.2529407739639282,0.9902861187807492,0.9828518106407949
full,small,organcmnist_224,resnet,7,0.0,42,consensus,0.32254138266796495,0.0,0.05109583920970255,0.07536808629425204,0.2188095599412918,0.2509428858757019,0.9647965024980053,0.9230517636850659
full,small,organcmnist_224,resnet,7,0.01,42,specialist_client,0.27324732229795523,0.0,0.026721533768031065,0.04487134318570701,0.18412934243679047,0.20108440518379211,0.9867279258254313,0.9720392119517813
full,small,organcmnist_224,resnet,7,0.1,42,avg,0.4469328140214216,0.0,0.04751306065187162,0.05834902222363316,0.22817866504192352,0.22701428830623627,0.9558102399034663,0.938974850685975
full,small,organcmnist_224,swin_tiny,3,0.0,42,prototype_head,0.06682083739045765,0.0,0.020457512802547873,0.036499732070499,0.36401960253715515,0.375654399394989,0.998005029332196,0.993106395832007
full,small,organcmnist_224,swin_tiny,3,0.01,42,prototype_head,0.3803554040895813,0.0,0.08846510118908352,0.11204821036921607,0.466031014919281,0.501405656337738,0.9651110458901057,0.9439879396196956
full,small,organcmnist_224,swin_tiny,3,0.1,42,prototype_head,0.22334469328140213,0.0,0.04395188225640192,0.05373233887884352,0.39119094610214233,0.3917044699192047,0.989215137461323,0.9852521052648076
full,small,organcmnist_224,swin_tiny,5,0.0,42,prototype_head,0.256207400194742,0.0,0.02581330001354217,0.03168790876865387,0.2410576492547989,0.27412149310112,0.9925674160320429,0.9852893091830571
full,small,organcmnist_224,swin_tiny,5,0.01,42,morph_anchor,0.20910418695228822,0.0,0.058000105023384096,0.09177764445543289,0.30023425817489624,0.34641703963279724,0.9696871963821247,0.9282796332928981
full,small,organcmnist_224,swin_tiny,5,0.1,42,morph_anchor,0.22334469328140213,0.0,0.02073499202728272,0.036054100990295414,0.22689928114414215,0.28209781646728516,0.9964292419587,0.9861087637660378
full,small,organcmnist_224,swin_tiny,7,0.0,42,prototype_head,0.22334469328140213,0.0,0.01292114796078935,0.024968035671175743,0.15997236967086792,0.19063888490200043,0.9968632496191127,0.9898658745635137
full,small,organcmnist_224,swin_tiny,7,0.01,42,prototype_head,0.20971275559883154,0.0,0.022036910969383865,0.02499960028395361,0.18609605729579926,0.20881465077400208,0.9920540773662132,0.9874845526204731
full,small,organcmnist_224,swin_tiny,7,0.1,42,reference_delta,0.2166504381694255,0.0,0.029809174945159833,0.04875511828125739,0.24223768711090088,0.30918681621551514,0.979699160367255,0.9493599019289448
full,small,organcmnist_224,vit_t,3,0.0,42,prototype_head,0.3281402142161636,0.0,0.09130042956935035,0.13620875941382513,0.47028398513793945,0.537646472454071,0.9600674719270896,0.9146278191880438
full,small,organcmnist_224,vit_t,3,0.01,42,prototype_head,0.30075462512171375,0.0,0.1548379427856869,0.19538549251026574,0.5655902624130249,0.6264115571975708,0.8957887793826766,0.834016746133014
