task_type,dataset,model,clip_model,num_clients,beta,seed,merge_weight_mode,my_merge_acc,my_merge_extra_acc,extra_minus_my_merge,exact_same
small,organcmnist_224,convnext,,3,0.01,42,,0.14447419668938657,0.11343719571567673,-0.031037000973709844,False
small,organcmnist_224,convnext,,3,0.1,42,,0.32534079844206426,0.09128529698149951,-0.23405550146056475,False
small,organcmnist_224,convnext,,5,0.0,42,,0.22334469328140213,0.22334469328140213,0.0,True
small,organcmnist_224,convnext,,5,0.01,42,,0.17125121713729308,0.05245861733203505,-0.11879259980525803,False
small,organcmnist_224,convnext,,5,0.1,42,,0.22334469328140213,0.08945959104186953,-0.1338851022395326,False
small,organcmnist_224,convnext,,7,0.0,42,,0.22334469328140213,0.22334469328140213,0.0,True
small,organcmnist_224,convnext,,7,0.01,42,,0.22334469328140213,0.11708860759493671,-0.10625608568646543,False
small,organcmnist_224,convnext,,7,0.1,42,,0.09128529698149951,0.05124148003894839,-0.040043816942551116,False
small,organcmnist_224,resnet,,3,0.0,42,,0.35443037974683544,0.32351509250243426,-0.03091528724440118,False
small,organcmnist_224,resnet,,3,0.01,42,,0.5775316455696202,0.187682570593963,-0.38984907497565724,False
small,organcmnist_224,resnet,,3,0.1,42,,0.6626095423563778,0.22577896786757545,-0.43683057448880236,False
small,organcmnist_224,resnet,,5,0.0,42,,0.36818403115871473,0.14350048685491723,-0.2246835443037975,False
small,organcmnist_224,resnet,,5,0.01,42,,0.1955939629990263,0.15384615384615385,-0.041747809152872434,False
small,organcmnist_224,resnet,,5,0.1,42,,0.4606864654333009,0.2911392405063291,-0.16954722492697177,False
small,organcmnist_224,resnet,,7,0.0,42,,0.32254138266796495,0.19425511197663095,-0.128286270691334,False
small,organcmnist_224,resnet,,7,0.01,42,,0.27324732229795523,0.12597370983446932,-0.14727361246348591,False
small,organcmnist_224,resnet,,7,0.1,42,,0.4469328140214216,0.28383641674780913,-0.16309639727361247,False
small,organcmnist_224,swin_tiny,,3,0.0,42,,0.06682083739045765,0.06815968841285297,0.0013388510223953237,False
small,organcmnist_224,swin_tiny,,3,0.01,42,,0.3803554040895813,0.17782375851996104,-0.20253164556962025,False
small,organcmnist_224,swin_tiny,,3,0.1,42,,0.22334469328140213,0.05245861733203505,-0.17088607594936708,False
small,organcmnist_224,swin_tiny,,5,0.0,42,,0.256207400194742,0.24440116845180138,-0.011806231742940598,False
small,organcmnist_224,swin_tiny,,5,0.01,42,,0.20910418695228822,0.06633398247322297,-0.14277020447906524,False
small,organcmnist_224,swin_tiny,,5,0.1,42,,0.22334469328140213,0.09128529698149951,-0.13205939629990263,False
small,organcmnist_224,swin_tiny,,7,0.0,42,,0.22334469328140213,0.08945959104186953,-0.1338851022395326,False
small,organcmnist_224,swin_tiny,,7,0.01,42,,0.20971275559883154,0.053554040895813046,-0.1561587147030185,False
small,organcmnist_224,swin_tiny,,7,0.1,42,,0.2166504381694255,0.10077896786757547,-0.11587147030185004,False
small,organcmnist_224,vit_t,,3,0.0,42,,0.3281402142161636,0.1646786757546251,-0.16346153846153846,False
small,organcmnist_224,vit_t,,3,0.01,42,,0.30075462512171375,0.14995131450827653,-0.1508033106134372,False
small,organcmnist_224,vit_t,,3,0.1,42,,0.36331548198636804,0.188412852969815,-0.17490262901655304,False
small,organcmnist_224,vit_t,,5,0.0,42,,0.30611002921129504,0.05245861733203505,-0.25365141187926,False
small,organcmnist_224,vit_t,,5,0.01,42,,0.13303310613437197,0.09323271665043817,-0.0398003894839338,False
small,organcmnist_224,vit_t,,5,0.1,42,,0.2231012658227848,0.16735637779941578,-0.05574488802336902,False
small,organcmnist_224,vit_t,,7,0.0,42,,0.32826192794547226,0.1428919182083739,-0.18537000973709836,False
