ablation,task_type,dataset,model,num_clients,beta,seed,selected_candidate,client_index,client_name,prior_weight_pi,diagnostic_weight_alpha_all,medical_weight_alpha_morph
full,small,chaoshengmnist_224,convnext,5,0.0,42,morphology,1,client_1.pt,0.2,0.10691743344068527,0.0909971222281456
full,small,chaoshengmnist_224,convnext,5,0.0,42,morphology,2,client_2.pt,0.2,0.5383062958717346,0.6074993014335632
full,small,chaoshengmnist_224,convnext,5,0.0,42,morphology,3,client_3.pt,0.2,0.10691320151090622,0.09099356830120087
full,small,chaoshengmnist_224,convnext,5,0.0,42,morphology,4,client_4.pt,0.2,0.10691320151090622,0.09099356830120087
full,small,chaoshengmnist_224,convnext,5,0.01,42,morphology,0,client_0.pt,0.2,0.09281748533248901,0.07530580461025238
full,small,chaoshengmnist_224,convnext,5,0.01,42,morphology,1,client_1.pt,0.2,0.14717160165309906,0.11872900277376175
full,small,chaoshengmnist_224,convnext,5,0.01,42,morphology,2,client_2.pt,0.2,0.09465286135673523,0.07677207887172699
full,small,chaoshengmnist_224,convnext,5,0.01,42,morphology,3,client_3.pt,0.2,0.17037333548069,0.1469942331314087
full,small,chaoshengmnist_224,convnext,5,0.01,42,morphology,4,client_4.pt,0.2,0.4949846863746643,0.5821988582611084
full,small,chaoshengmnist_224,convnext,5,0.1,42,morph_anchor,0,client_0.pt,0.2,0.11636615544557571,0.10796911269426346
full,small,chaoshengmnist_224,convnext,5,0.1,42,morph_anchor,1,client_1.pt,0.2,0.36044496297836304,0.35857245326042175
full,small,chaoshengmnist_224,convnext,5,0.1,42,morph_anchor,2,client_2.pt,0.2,0.07035796344280243,0.05455625802278519
full,small,chaoshengmnist_224,convnext,5,0.1,42,morph_anchor,3,client_3.pt,0.2,0.3817758560180664,0.4238136112689972
full,small,chaoshengmnist_224,convnext,5,0.1,42,morph_anchor,4,client_4.pt,0.2,0.07105505466461182,0.05508849024772644
full,small,chaoshengmnist_224,convnext,7,0.0,42,morphology,0,client_0.pt,0.14285714285714285,0.10711782425642014,0.08945216238498688
full,small,chaoshengmnist_224,convnext,7,0.0,42,morphology,1,client_1.pt,0.14285714285714285,0.08285300433635712,0.06943101435899734
full,small,chaoshengmnist_224,convnext,7,0.0,42,morphology,2,client_2.pt,0.14285714285714285,0.11116078495979309,0.09278804808855057
full,small,chaoshengmnist_224,convnext,7,0.0,42,morphology,3,client_3.pt,0.14285714285714285,0.08285300433635712,0.06943101435899734
