backbone,method,dataset,client_setting,client_average_acc
ViT-Tiny,dare_linear,Derma,K=3,0.2850
ViT-Tiny,dare_linear,Derma,K=5,0.1002
ViT-Tiny,dare_linear,Derma,K=7,0.1204
ViT-Tiny,dare_linear,Derma,Avg,0.1685
ViT-Tiny,dare_linear,Organ-C,K=3,0.1534
ViT-Tiny,dare_linear,Organ-C,K=5,0.0946
ViT-Tiny,dare_linear,Organ-C,K=7,0.0704
ViT-Tiny,dare_linear,Organ-C,Avg,0.1061
ViT-Tiny,dare_linear,Organ-S,K=3,0.0748
ViT-Tiny,dare_linear,Organ-S,K=5,0.0549
ViT-Tiny,dare_linear,Organ-S,K=7,0.1611
ViT-Tiny,dare_linear,Organ-S,Avg,0.0969
ViT-Tiny,dare_linear,Ultrasound,K=3,0.1366
ViT-Tiny,dare_linear,Ultrasound,K=5,0.1051
ViT-Tiny,dare_linear,Ultrasound,K=7,0.1435
ViT-Tiny,dare_linear,Ultrasound,Avg,0.1284
ViT-Tiny,dare_ties,Blood,K=3,0.0735
ViT-Tiny,dare_ties,Blood,K=5,0.1189
ViT-Tiny,dare_ties,Blood,K=7,0.1146
ViT-Tiny,dare_ties,Blood,Avg,0.1023
ViT-Tiny,dare_ties,Derma,K=3,0.2735
ViT-Tiny,dare_ties,Derma,K=5,0.4502
ViT-Tiny,dare_ties,Derma,K=7,0.3528
ViT-Tiny,dare_ties,Derma,Avg,0.3588
ViT-Tiny,dare_ties,Organ-C,K=3,0.1252
ViT-Tiny,dare_ties,Organ-C,K=5,0.0903
ViT-Tiny,dare_ties,Organ-C,K=7,0.1033
ViT-Tiny,dare_ties,Organ-C,Avg,0.1063
ViT-Tiny,dare_ties,Organ-S,K=3,0.0541
ViT-Tiny,dare_ties,Organ-S,K=5,0.0874
ViT-Tiny,dare_ties,Organ-S,K=7,0.0591
ViT-Tiny,dare_ties,Organ-S,Avg,0.0669
ViT-Tiny,dare_ties,Ultrasound,K=3,0.1447
ViT-Tiny,dare_ties,Ultrasound,K=5,0.1120
ViT-Tiny,dare_ties,Ultrasound,K=7,0.1042
ViT-Tiny,dare_ties,Ultrasound,Avg,0.1203
ViT-Tiny,regmean,Blood,K=3,0.1748
ViT-Tiny,regmean,Blood,K=5,0.1417
ViT-Tiny,regmean,Blood,K=7,0.1290
ViT-Tiny,regmean,Blood,Avg,0.1485
ViT-Tiny,regmean,Derma,K=3,0.5114
ViT-Tiny,regmean,Derma,K=5,0.3667
ViT-Tiny,regmean,Derma,K=7,0.6658
ViT-Tiny,regmean,Derma,Avg,0.5146
ViT-Tiny,regmean,Organ-C,K=3,0.1250
ViT-Tiny,regmean,Organ-C,K=5,0.0964
ViT-Tiny,regmean,Organ-C,K=7,0.0983
ViT-Tiny,regmean,Organ-C,Avg,0.1066
ViT-Tiny,regmean,Organ-S,K=3,0.1263
ViT-Tiny,regmean,Organ-S,K=5,0.0717
ViT-Tiny,regmean,Organ-S,K=7,0.1068
ViT-Tiny,regmean,Organ-S,Avg,0.1016
ViT-Tiny,regmean,Ultrasound,K=3,0.1491
ViT-Tiny,regmean,Ultrasound,K=5,0.1384
ViT-Tiny,regmean,Ultrasound,K=7,0.1144
