task_type,dataset,model,clip_model,num_clients,beta,seed,merged_method,comparison_baseline,merged_accuracy,baseline_accuracy,gap_accuracy,merged_balanced_accuracy,baseline_balanced_accuracy,gap_balanced_accuracy,merged_macro_f1,baseline_macro_f1,gap_macro_f1
small,dermamnist_224,resnet,,3,0.1,42,fisher,logit_ensemble,0.6703241895261846,0.6443890274314215,0.025935162094763098,0.16676733451673179,0.25663909478009955,-0.08987176026336777,0.14706288258856068,0.2003444595883402,-0.053281576999779534
small,dermamnist_224,resnet,,3,0.1,42,fisher,oracle_any_correct,0.6703241895261846,0.7436408977556109,-0.07331670822942637,0.16676733451673179,0.5599009635158451,-0.3931336289991133,0.14706288258856068,0.41257833955085854,-0.26551545696229784
small,dermamnist_224,resnet,,3,0.1,42,fisher,oracle_min_loss,0.6703241895261846,0.741645885286783,-0.07132169576059844,0.16676733451673179,0.5472655426516526,-0.38049820813492086,0.14706288258856068,0.4097911758488597,-0.262728293260299
small,dermamnist_224,resnet,,3,0.1,42,regmean,best_single_client,0.6892768079800499,0.6384039900249376,0.050872817955112226,0.22140684695581417,0.2364720753787021,-0.015065228422887933,0.19155282066121693,0.18310965393586254,0.00844316672535439
small,dermamnist_224,resnet,,3,0.1,42,regmean,prob_ensemble,0.6892768079800499,0.6329177057356609,0.056359102244389,0.22140684695581417,0.2606293599973147,-0.03922251304150051,0.19155282066121693,0.20926336221469444,-0.01771054155347751
small,dermamnist_224,resnet,,3,0.1,42,regmean,logit_ensemble,0.6892768079800499,0.6443890274314215,0.04488778054862841,0.22140684695581417,0.25663909478009955,-0.035232247824285384,0.19155282066121693,0.2003444595883402,-0.008791638927123285
small,dermamnist_224,resnet,,3,0.1,42,regmean,oracle_any_correct,0.6892768079800499,0.7436408977556109,-0.054364089775561064,0.22140684695581417,0.5599009635158451,-0.3384941165600309,0.19155282066121693,0.41257833955085854,-0.22102551888964161
small,dermamnist_224,resnet,,3,0.1,42,regmean,oracle_min_loss,0.6892768079800499,0.741645885286783,-0.052369077306733125,0.22140684695581417,0.5472655426516526,-0.3258586956958385,0.19155282066121693,0.4097911758488597,-0.21823835518764279
small,dermamnist_224,resnet,,3,0.1,42,from,best_single_client,0.6748129675810474,0.6384039900249376,0.03640897755610972,0.1656746090511647,0.2364720753787021,-0.07079746632753739,0.15254375606649812,0.18310965393586254,-0.030565897869364422
small,dermamnist_224,resnet,,3,0.1,42,from,prob_ensemble,0.6748129675810474,0.6329177057356609,0.0418952618453865,0.1656746090511647,0.2606293599973147,-0.09495475094614997,0.15254375606649812,0.20926336221469444,-0.05671960614819632
small,dermamnist_224,resnet,,3,0.1,42,from,logit_ensemble,0.6748129675810474,0.6443890274314215,0.030423940149625905,0.1656746090511647,0.25663909478009955,-0.09096448572893484,0.15254375606649812,0.2003444595883402,-0.0478007035218421
small,dermamnist_224,resnet,,3,0.1,42,from,oracle_any_correct,0.6748129675810474,0.7436408977556109,-0.06882793017456357,0.1656746090511647,0.5599009635158451,-0.39422635446468035,0.15254375606649812,0.41257833955085854,-0.2600345834843604
small,dermamnist_224,resnet,,3,0.1,42,from,oracle_min_loss,0.6748129675810474,0.741645885286783,-0.06683291770573563,0.1656746090511647,0.5472655426516526,-0.3815909336004879,0.15254375606649812,0.4097911758488597,-0.2572474197823616
